Carimbo de data/hora,Qual sua faixa etária? ,Escolaridade,Qual seu gênero?,Qual sua religião?,Local do Brasil onde mora,Estado cívil,Raça,Quantos anos você tinha quando se casou?,Você namorou por quanto tempo antes de se casar?,Quanto tempo de noivado/preparação para o casamento?,"Pelo dicionário expectativas podem ser compreendidas como, situação de quem espera a ocorrência de algo, ou sua probabilidade de ocorrência, em determinado momento. Na sua perspectiva, as expectativas: ",Quais eram ás suas expectativas no inicio do casamento?,"As expectativas citadas na questão acima, se supriram ao longo do tempo? ",Quais fatores eram importantes para sustentar as expectativas criadas para o matrimônio? (Você pode marcar mais de uma).,"Na sua perspectiva, quais eram as expectativas que seu conjuge tinha em relação ao casamento no ínicio? ",Quais sentimentos apareceram nos primeiros anos de casado? (Tendo como referência os primeiros dois anos),Por algum momento você se arrependeu de ter casado?,Algum dos motivos para você ter se arrependido de se casar foi devido a uma quebra de expectativas?,"Se você respondeu sim, para a ultima pergunta, quais expectativas foram quebradas? ",O que você fez quando houve quebra de expectativas? ,"E atualmente, depois de um tempo de casado, quais caracteristicas são mais importantes para sustentar as expectativas criadas para o matrimônio? (Você pode marcar mais de uma).","E hoje, você se permite criar expectativas para o casamento? ","Se a sua resposta foi sim, na pergunta anterior, depois de um tempo de casado, quais são as expectativas para os proximos anos? ",O que foi importante para moldar e criar suas expectativas em relação ao casamento?,Conte um pouco de como foi o início do casamento para voce? 
05/04/2023 09:48:51,24 á 29 anos,Graduação completa,Femino,Católico,Centro Oeste,Casado,Branco,24 á 29 anos,Entre 3 e 4 anos,Entre 6 e 1 ano,São importantes para saúde e manutenção do casamento,"Reciprocidade Amorosa, Segurança afetiva (vínculo seguro e constante)",sim,Personalidade do meu conjuge,"Reciprocidade Amorosa, Segurança afetiva (vínculo seguro e constante)",Alegria,não,não,,Convesei,"Personalidade do meu conjuge, A família do conjuge ou minha familia, Ambiente",Sim,"Personalidade do meu conjuge, Financeiros, Ambiente","Histórias antigas das minhas referências (pais, avós, familiares, líderes), Valores, Religião","Apesar das mudanças, sinto que houve mais união, afeto, companheirismo e amizade! "
05/04/2023 09:50:36,18 a 23 anos,Graduação em curso,Femino,Evangelico,Sudeste,Casado,Branco,18 a 23 anos,Acimas de 4 anos,Entre 6 e 1 ano,São importantes para saúde e manutenção do casamento,"Reciprocidade Amorosa, Segurança afetiva (vínculo seguro e constante), Cerimônia e festa de casamento (exemplo: se vestir de noiva(o))",sim,"Personalidade do meu conjuge, A família do conjuge, Ambiente (aspectos referentes a casa, como ter uma casa propria ou ter uma casa bonita), Minha família, Trabalho (jornada, turno, tempo de descanso, etc)","Reciprocidade Amorosa, Segurança afetiva (vínculo seguro e constante), Cerimônia e festa de casamento (exemplo: se vestir de noiva(o))",Alegria,não,,,,"Personalidade do meu conjuge, Financeiros",Sim,"Financeiros, Ambiente","Valores, Religião","Para nós o início do casamento foi incrível. Sempre ouvimos que o primeiro ano era um caos, mas fizemos de tudo para organizar e resolver as coisas do namoro no namoro, como inseguranças, dúvidas e etc. Entramos no casamento com a certeza e a disposição mais do que necessárias para seguirmos juntos. As questões de convivência existem, mas os dois precisam ceder e escolher todos os dias permanecer ali (claro que existem situações inaceitáveis, mas esse não é o nosso caso)."
05/04/2023 09:53:36,Acima de 42 anos,Pós Graduação,Femino,Católico,Sudeste,União estável (casado apenas no cartório),Pardo,30 á 35 anos,Entre 2 e 3 anos,1 e 2 anos,São importantes para saúde e manutenção do casamento,"Reciprocidade Amorosa, Ter filhos",sim,"Personalidade do meu conjuge, Financeiros, Ambiente (aspectos referentes a casa, como ter uma casa propria ou ter uma casa bonita)","Reciprocidade Amorosa, Condições de sair da casa dos meus pais e construir minha própria família",Alegria,não,não,,"Convesei, Perseverei e tentei reajustar a relação","Personalidade do meu conjuge, Financeiros, Ambiente",Sim,"Financeiros, Ambiente","Histórias antigas das minhas referências (pais, avós, familiares, líderes), Valores","Uma novidade, uma descoberta, um mundo diferente, "
05/04/2023 09:53:41,24 á 29 anos,Graduação em curso,Femino,Ateu,Sudeste,Casado,Branco,24 á 29 anos,Menos de 1 ano,1 e 2 anos,São importantes para saúde e manutenção do casamento,"Reciprocidade Amorosa, Ascensão financeira, Segurança afetiva (vínculo seguro e constante), Ter filhos, Condições de sair da casa dos meus pais e construir minha própria família",sim,"Personalidade do meu conjuge, Financeiros, Ambiente (aspectos referentes a casa, como ter uma casa propria ou ter uma casa bonita), Trabalho (jornada, turno, tempo de descanso, etc)","Reciprocidade Amorosa, Ascensão financeira, Segurança afetiva (vínculo seguro e constante), Ter filhos, Condições de sair da casa dos meus pais e construir minha própria família",Alegria,não,não,,,"Personalidade do meu conjuge, Financeiros, A família do conjuge ou minha familia, Ambiente",Sim,"Personalidade do meu conjuge, Financeiros, A família do conjuge ou minha familia, Ambiente","Histórias antigas das minhas referências (pais, avós, familiares, líderes), Valores","Sempre fomos parceiros e conversamos muito. Iniciar um casamento com meu marido foi muito fácil e tranquilo, porque fomos amigos, namorados e noivos que conversavam de forma aberta. Logo, no casamento não é diferente. "
05/04/2023 09:53:56,Acima de 42 anos,Graduação completa,Femino,Evangelico,Sudeste,Casado,Pardo,24 á 29 anos,Acimas de 4 anos,Entre 6 e 1 ano,Atrapalham muito a relação,Reciprocidade Amorosa,sim,Personalidade do meu conjuge,Reciprocidade Amorosa,Alegria,sim,não,,"Convesei, Pedi ajuda de lideres religiosos, Perseverei e tentei reajustar a relação",Personalidade do meu conjuge,Não,Financeiros,Valores,"Me senti bem, sem muita dificuldade no convívio, já tinha anos de conhecimento"
05/04/2023 09:55:09,30 á 35 anos,Graduação completa,Femino,Católico,Sul,União estável (casado apenas no cartório),Branco,18 a 23 anos,Entre 1 e 2 anos,menos de 6 meses,Atrapalham muito a relação,"Segurança afetiva (vínculo seguro e constante), Condições de sair da casa dos meus pais e construir minha própria família",não,"Personalidade do meu conjuge, Financeiros",Segurança afetiva (vínculo seguro e constante),Tristeza,sim,sim,Segurança afetiva,"Convesei, Procurei Terapia individual, Foquei mais no trabalho, Perseverei e tentei reajustar a relação",Personalidade do meu conjuge,Não,,"Histórias antigas das minhas referências (pais, avós, familiares, líderes)",Bastante complicado. Gravidez na adolescência e início da vida a dois já com filho pequeno.
05/04/2023 09:55:18,24 á 29 anos,Graduação em curso,Femino,Evangelico,Sudeste,"Amigado (moram juntos, mas não tiveram registro no cartório e religioso)",Branco,24 á 29 anos,Entre 2 e 3 anos,1 e 2 anos,São importantes para saúde e manutenção do casamento,Segurança afetiva (vínculo seguro e constante),sim,"A família do conjuge, Minha família","Reciprocidade Amorosa, Condições de sair da casa dos meus pais e construir minha própria família",Tristeza,sim,sim,Algumas atitudes ,"Convesei, Procurei Terapia individual, Pedi ajuda de lideres religiosos, Perseverei e tentei reajustar a relação",Ambiente,Sim,Personalidade do meu conjuge,"Histórias antigas das minhas referências (pais, avós, familiares, líderes), Valores, Religião",Foi legal momentos mto feliz
05/04/2023 09:57:48,18 a 23 anos,Graduação em curso,Masculino,Evangelico,Sudeste,Casado,Branco,18 a 23 anos,Entre 2 e 3 anos,Entre 6 e 1 ano,São importantes para saúde e manutenção do casamento,"Reciprocidade Amorosa, Aceitação Social, Segurança afetiva (vínculo seguro e constante), Condições de sair da casa dos meus pais e construir minha própria família",sim,"Personalidade do meu conjuge, Minha família","Reciprocidade Amorosa, Aceitação Social, Segurança afetiva (vínculo seguro e constante), Ter filhos, Condições de sair da casa dos meus pais e construir minha própria família",Alegria,não,não,,"Convesei, Pedi ajuda de lideres religiosos, Perseverei e tentei reajustar a relação","Personalidade do meu conjuge, Ambiente",Sim,Financeiros,"Histórias antigas das minhas referências (pais, avós, familiares, líderes), Valores, Religião",Muito bom. ainda estou no início. Apesar dos desafios nós conseguimos caminhar juntos em amor com cumplicidade e respeito
05/04/2023 09:58:22,Acima de 42 anos,Graduação em curso,Masculino,Evangelico,Sudeste,Casado,Pardo,30 á 35 anos,Acimas de 4 anos,1 e 2 anos,São importantes para saúde e manutenção do casamento,Reciprocidade Amorosa,não,"Personalidade do meu conjuge, Minha família","Reciprocidade Amorosa, Cerimônia e festa de casamento (exemplo: se vestir de noiva(o))",Alegria,sim,sim,Reciprocidade amorosa ,"Convesei, Perseverei e tentei reajustar a relação","Personalidade do meu conjuge, Financeiros, Ambiente",Sim,"Personalidade do meu conjuge, Financeiros","Valores, Religião","Normal, tudo estava indo  muito bem "
05/04/2023 09:59:16,36 á 41 anos,Pós Graduação,Femino,,Sudeste,Casado,Branco,18 a 23 anos,Entre 3 e 4 anos,Entre 6 e 1 ano,São importantes para saúde e manutenção do casamento,"Reciprocidade Amorosa, Segurança afetiva (vínculo seguro e constante), Condições de sair da casa dos meus pais e construir minha própria família",sim,"Personalidade do meu conjuge, Ambiente (aspectos referentes a casa, como ter uma casa propria ou ter uma casa bonita), Minha família, Trabalho (jornada, turno, tempo de descanso, etc)","Reciprocidade Amorosa, Condições de sair da casa dos meus pais e construir minha própria família",Alegria,não,,"Não me arrependo de ter casado, mas certamente minhas expectativas não foram totalmente atendidas. Uma das que não foi atendida foi imaginar que estaria sempre tudo bem, e que eu não teria que trabalhar tanto (trabalho doméstico).","Procurei Terapia individual, Pedi ajuda de lideres religiosos, Perseverei e tentei reajustar a relação","Personalidade do meu conjuge, Ambiente",Sim,"Personalidade do meu conjuge, Ambiente","Valores, Religião","Foi um período de adaptação, desafiador para ambas as partes. Eu tinha 22 anos e meu marido, 28."
05/04/2023 09:59:28,36 á 41 anos,Pós Graduação,Femino,Testemunha de Jeová ,Norte,Casado,Branco,24 á 29 anos,Acimas de 4 anos,2 e 3 anos,São importantes para saúde e manutenção do casamento,"Reciprocidade Amorosa, Segurança afetiva (vínculo seguro e constante)",sim,"Personalidade do meu conjuge, A família do conjuge, Minha família, Trabalho (jornada, turno, tempo de descanso, etc)","Reciprocidade Amorosa, Segurança afetiva (vínculo seguro e constante)",Alegria,não,sim,Confiança ,"Convesei, Ajuste de rotina, e do motivo da quebra de confiança ","Personalidade do meu conjuge, A família do conjuge ou minha familia",Sim,"Financeiros, Ambiente","Histórias antigas das minhas referências (pais, avós, familiares, líderes), Valores, Religião","Nunca tivemos uma relação tão romântica, mas sempre asseguramos amor e companheirismo, ambos temos Filhos de outro relacionamento, e esse foi um ponto em comum, e geralmente o ponto estressante. Mas com o tempo aprendemos a lidar com as crianças, e isso se torno uma parte importante das coisas que nos fazem mais fortes. Hoje, 10 anos depois, temos nossos filhos unidos, são 3 crianças, 1 nosso filho biológico, e 2 de pais diferentes, mas eles tem um relacionamento familiar igual, são todos irmãos e nossas famílias são unidas e respeitosas."
05/04/2023 09:59:30,30 á 35 anos,Pós Graduação,,Evangelico,Sudeste,Casado,Branco,24 á 29 anos,Menos de 1 ano,menos de 6 meses,São importantes para saúde e manutenção do casamento,"Reciprocidade Amorosa, Ascensão financeira, Segurança afetiva (vínculo seguro e constante), Ter filhos",sim,"Personalidade do meu conjuge, Ambiente (aspectos referentes a casa, como ter uma casa propria ou ter uma casa bonita), Minha família","Reciprocidade Amorosa, Aceitação Social, Segurança afetiva (vínculo seguro e constante)",Alegria,não,não,,"Convesei, Perseverei e tentei reajustar a relação","Personalidade do meu conjuge, Ambiente",Sim,"Financeiros, Ambiente","Histórias antigas das minhas referências (pais, avós, familiares, líderes), Valores, Religião","Foi um momento de crescimento conjunto, com um moldando o outro."
05/04/2023 09:59:34,Acima de 42 anos,Ensino Médio,Femino,Evangelico,Sudeste,Solteiro,Branco,Acima de 42 anos,Entre 1 e 2 anos,1 e 2 anos,São importantes para saúde e manutenção do casamento,Segurança afetiva (vínculo seguro e constante),não,"Personalidade do meu conjuge, Trabalho (jornada, turno, tempo de descanso, etc)",Ascensão financeira,Arrependimento,sim,sim,"Todas, sentimental, financeiro, falta de atitudes ",Me separei,"Personalidade do meu conjuge, Financeiros",Sim,"Personalidade do meu conjuge, Financeiros","Religião, Trabalho do meu conjuge","Falta de atitudes, financeiro e outros."
05/04/2023 10:00:35,Acima de 42 anos,Graduação em curso,Femino,Evangelico,Sudeste,Casado,Branco,18 a 23 anos,Entre 1 e 2 anos,Entre 6 e 1 ano,São importantes para saúde e manutenção do casamento,Reciprocidade Amorosa,sim,Personalidade do meu conjuge,"Reciprocidade Amorosa, Ter filhos",Alegria,sim,não,,"Convesei, Perseverei e tentei reajustar a relação",Personalidade do meu conjuge,Sim,,"Valores, Religião",A princípio tinha conflitos pelo processo de adaptação.
05/04/2023 10:01:15,36 á 41 anos,Pós Graduação,Femino,Evangelico,Centro Oeste,Casado,Branco,24 á 29 anos,Entre 3 e 4 anos,Acima de 3 anos,Atrapalham muito a relação,"Reciprocidade Amorosa, Segurança afetiva (vínculo seguro e constante)",sim,Personalidade do meu conjuge,"Reciprocidade Amorosa, Aceitação Social",Alegria,sim,sim,Confiança ,"Convesei, Perseverei e tentei reajustar a relação","Personalidade do meu conjuge, Ambiente",Sim,"Personalidade do meu conjuge, Financeiros, Ambiente","Valores, Religião",Foi muito bom dividir a vida com outra pessoa. 
05/04/2023 10:02:20,Acima de 42 anos,Pós Graduação,Femino,Evangelico,Sudeste,Casado,Branco,30 á 35 anos,Entre 1 e 2 anos,Entre 6 e 1 ano,São importantes para saúde e manutenção do casamento,Cerimônia e festa de casamento (exemplo: se vestir de noiva(o)),sim,Personalidade do meu conjuge,Reciprocidade Amorosa,Alegria,não,não,,Convesei,"Personalidade do meu conjuge, Financeiros, A família do conjuge ou minha familia",Sim,Personalidade do meu conjuge,"Valores, Religião",Muito feliz 
